X,Y,Z,T,M
190.81654,78.56023,-219.41212,3827.02,-1.1443096
58.38615,24.06553,-25.04081,3827.02,0.94953907
150.4498,62.09786,-78.04432,3827.02,0.08754882
101.86548,42.13182,36.57547,3827.02,0.68501574
55.93973,23.20008,64.95928,3827.02,0.52769196
101.46628,42.12334,11.82612,3827.02,-0.37675712
112.698,46.90085,-60.08555,3827.02,0.25143668
32.38653,13.55868,79.22362,3827.02,1.461029
9.10425,3.82826,27.53036,3827.02,3.4894955
27.26201,11.46685,-34.11041,3827.02,0.65686864
80.12015,33.79598,23.86334,3827.02,-1.1553422
63.14776,26.69098,-69.94869,3827.02,1.2151287
74.05107,31.32642,-46.95254,3827.02,0.9450214
217.15373,92.31766,163.99805,3827.02,-0.9021038
47.89404,20.47957,-61.48098,3827.02,1.7388589
59.81846,25.6797,-48.81482,3827.02,0.9377594
162.87772,70.23424,25.58802,3827.02,0.043170996
288.64505,124.65145,509.61783,3827.02,-3.1964176
24.71373,10.70154,-132.42436,3827.02,0.4561586
27.01487,11.70608,-3.62814,3827.02,3.3887937
1.55261,0.67355,98.50763,3827.02,1.4923302
29.39806,12.77228,53.8375,3827.02,0.69516444
87.70696,38.26201,72.7303,3827.02,0.5006166
54.0375,23.67264,-16.55656,3827.02,1.6836008
159.06862,69.84069,57.99517,3827.02,-0.41403678
87.64002,38.49281,-59.5629,3827.02,0.8496181
229.60672,100.85624,-15.44303,3827.02,-0.56058466
254.816,111.93498,-122.17118,3827.02,-1.0040205
19.53574,8.62088,-34.3582,3827.02,2.9952424
622.6665,276.4936,178.24431,3827.02,-3.0085583
26.39684,11.73101,-24.19287,3827.02,3.5495045
81.90599,36.41312,78.12901,3827.02,1.01398
52.04365,23.14713,17.88677,3827.02,2.070074
148.27841,66.00433,-44.70702,3827.02,-0.7210678
49.08085,21.88826,-30.91135,3827.02,1.7281718
77.49496,34.68691,96.72161,3827.02,0.6521051
251.04027,112.72375,37.8501,3827.02,-0.8284875
118.45359,53.20171,-210.01105,3827.02,-0.78272486
9.2138,4.14082,8.90768,3827.02,3.4534824
30.12822,13.58748,7.11044,3827.02,2.894991
9.28864,4.20682,-111.39107,3827.02,0.4166876
34.35558,15.58907,-6.2484,3827.02,3.3273585
21.72509,9.8678,-37.07729,3827.02,-2.7717848
353.16226,160.54848,822.1599,3827.02,-3.3030367
249.60443,113.57713,-16.48753,3827.02,-0.7644931
3.01965,1.3748,-26.92603,3827.02,3.7127767
32.05963,14.60901,40.00211,3827.02,-0.04383583
168.66644,76.97779,296.448,3827.02,-2.1681697
72.33135,33.13811,-58.93216,3827.02,0.96160686
36.32402,16.65262,131.02863,3827.02,-0.4033857
89.01806,40.81704,99.30577,3827.02,0.65759575
59.56968,27.41845,-25.535,3827.02,1.3429704
48.1827,22.30189,51.96807,3827.02,0.6552253
121.16623,56.29456,39.33704,3827.02,0.26062223
4.10948,1.91164,-6.76944,3827.02,6.2051077
100.97552,47.20297,152.67744,3827.02,-0.03272164
143.53955,67.37641,135.79765,3827.02,-1.6383225
49.73158,23.344,8.46631,3827.02,2.615156
54.21586,25.47141,56.44361,3827.02,1.0528814
45.58554,21.57374,24.32135,3827.02,2.4594073
20.59997,9.75458,-118.90043,3827.02,0.91490024
101.52464,48.11616,10.79349,3827.02,-0.8128314
29.77624,14.11568,-25.86881,3827.02,3.089262
125.49789,59.62704,80.37115,3827.02,-0.057559766
33.0034,15.69705,-7.31834,3827.02,2.8931034
8.40249,3.99767,8.56054,3827.02,4.450608
50.13274,23.85819,-99.29811,3827.02,0.41994438
67.44614,32.18831,-55.97333,3827.02,0.84894735
58.44875,27.89665,45.76406,3827.02,1.1335754
50.76337,24.25207,-35.60243,3827.02,1.1333497
209.64003,100.32434,381.1621,3827.02,-1.89876
45.9463,21.99917,126.35763,3827.02,-0.1015197
9.25362,4.43785,-13.99179,3827.02,4.323243
6.31622,3.02959,2.58716,3827.02,5.874065
331.86343,159.58183,-23.74914,3827.02,-2.8551536
25.72178,12.39687,81.18359,3827.02,0.5060306
